episode_id,start_idx,end_idx,start_window,end_window,duration,max_entr_index,mean_entr_index,window_id_list,sample_sentences
1,14,24,15,25,11,5.622560331016732,5.260911328567757,15 16 17 18 19 20 21 22 23 24 25,"Travelling day in and day out. || “Getting up early all the time”, he thought, “it makes you stupid. || But who knows, maybe that would be the best thing for me."
2,28,29,29,30,2,4.7448681888609565,4.683139570047491,29 30,"Well, there’s still some hope; once I’ve got the money together to pay off my parents’ debt to him—another five or six years I suppose—that’s definitely what I’ll do. || Well, there’s still some hope; once I’ve got the money together to pay off my parents’ debt to him—another five or six years I suppose—that’s definitely what I’ll do. || That’s when I’ll make the big change."
3,86,89,87,90,4,5.603824838253898,5.218152337138403,87 88 89 90,"But then he said to himself: “Before it strikes quarter past seven I’ll definitely have to have got properly out of bed. || And by then somebody will have come round from work to ask what’s happened to me as well, as they open up at work before seven o’clock.” || If he succeeded in falling out of bed in this way and kept his head raised as he did so he could probably avoid injuring it."
4,164,173,165,174,10,7.416777626171089,6.350803468635182,165 166 167 168 169 170 171 172 173 174,It’s not quite as easy as I’d thought. || They must have noticed it. || Maybe you haven’t read the latest contracts I sent in.
5,646,653,647,654,8,7.484820311820297,6.354892131758556,647 648 649 650 651 652 653 654,"I don’t want to call this monster my brother, all I can say is: we have to try and get rid of it. || His mother, who still had not had time to catch her breath, began to cough dully, her hand held out in front of her and a deranged expression in her eyes. || “We have to try and get rid of it”, said Gregor’s sister, now speaking only to her father, as her mother was too occupied with coughing to listen, “it’ll be the death of both of you, I can see it coming."
6,666,669,667,670,4,5.812445803417386,5.465281925818046,667 668 669 670,"We wouldn’t have a brother any more, then, but we could carry on with our lives and remember him with respect. || As it is this animal is persecuting us, it’s driven out our tenants, it obviously wants to take over the whole flat and force us to sleep on the streets. || In her alarm, which was totally beyond Gregor’s comprehension, his sister even abandoned his mother as she pushed herself vigorously out of her chair as if more willing to sacrifice her own mother than stay anywhere near Gregor."
