episode_id,start_idx,end_idx,start_window,end_window,duration,max_entr_index,mean_entr_index,window_id_list,sample_sentences
1,149,154,150,155,6,5.435409723801526,4.921378982218672,150 151 152 153 154 155,"The chief clerk now raised his voice, “Mr. Samsa”, he called to him, “what is wrong? || I’m speaking here on behalf of your parents and of your employer, and really must request a clear and immediate explanation. || This morning, your employer did suggest a possible reason for your failure to appear, it’s true—it had to do with the money that was recently entrusted to you—but I came near to giving him my word of honour that that could not be the right explanation."
2,163,173,164,174,11,7.760182433173549,6.362917789885574,164 165 166 167 168 169 170 171 172 173 174,I’m just getting out of bed. || They must have noticed it. || Maybe you haven’t read the latest contracts I sent in.
3,191,192,192,193,2,4.645344907079128,4.601625907913329,192 193,"Did you hear the way Gregor spoke just now?” || Did you hear the way Gregor spoke just now?” || “That was the voice of an animal”, said the chief clerk, with a calmness that was in contrast with his mother’s screams."
4,239,240,240,241,2,4.672714498180553,4.600850801236689,240 241,That’s just prejudice || That’s just prejudice || but they have no particular reason to think better of it.
5,265,272,266,273,8,5.878048516899989,5.391478427480816,266 267 268 269 270 271 272 273,"Gregor, though, had no time to spare for his parents now; the chief clerk had already reached the stairs; with his chin on the banister, he looked back for the last time. || Until then he had been relatively self controlled, but now, instead of running after the chief clerk himself, or at least not impeding Gregor as he ran after him, Gregor’s father seized the chief clerk’s stick in his right hand (the chief clerk had left it behind on a chair, along with his hat and overcoat), picked up a large newspaper from the table with his left, and used them to drive Gregor back into his room, stamping his foot at him as he went. || Nothing would stop Gregor’s father as he drove him back, making hissing noises at him like a wild man."
6,506,506,507,507,1,4.452033085942062,4.452033085942062,507,An apple thrown without much force glanced against Gregor’s back and slid off without doing any harm. || An apple thrown without much force glanced against Gregor’s back and slid off without doing any harm. || An apple thrown without much force glanced against Gregor’s back and slid off without doing any harm.
7,648,650,649,651,3,5.161244346561754,4.91236595386172,649 650 651,"“She’s absolutely right”, said Gregor’s father to himself. || His mother, who still had not had time to catch her breath, began to cough dully, her hand held out in front of her and a deranged expression in her eyes. || Gregor’s sister rushed to his mother and put her hand on her forehead."
8,665,670,666,671,6,6.765308619553881,5.995129789036383,666 667 668 669 670 671,"If it were Gregor he would have seen long ago that it’s not possible for human beings to live with an animal like that and he would have gone of his own free will. || As it is this animal is persecuting us, it’s driven out our tenants, it obviously wants to take over the whole flat and force us to sleep on the streets. || She rushed over to behind her father, who had become excited merely because she was and stood up half raising his hands in front of Gregor’s sister as if to protect her."
