ROI_id,start_idx,end_idx,start_window,end_window,duration,mean_range,mean_valence,mean_arousal,mean_dominance,sample_sentences
1,149,154,150,155,6,0.39317638363286433,4.14282106579001,3.7496446821571454,4.05537894579579,"The chief clerk now raised his voice, “Mr. Samsa”, he called to him, “what is wrong? || I’m speaking here on behalf of your parents and of your employer, and really must request a clear and immediate explanation. || This morning, your employer did suggest a possible reason for your failure to appear, it’s true—it had to do with the money that was recently entrusted to you—but I came near to giving him my word of honour that that could not be the right explanation."
2,170,173,171,174,4,0.4536860522276075,3.7759457701325303,3.85737336496384,4.2039314675618975,"But you always think you can get over an illness without staying at home. || Please, don’t make my parents suffer! || Maybe you haven’t read the latest contracts I sent in."
3,190,192,191,193,3,0.4318887349812776,4.27037976340706,3.995789801852254,4.427678536833532,"Quick, get the doctor. || Did you hear the way Gregor spoke just now?” || “That was the voice of an animal”, said the chief clerk, with a calmness that was in contrast with his mother’s screams."
4,265,272,266,273,8,0.3190267341672341,4.062898116627669,4.021280126853749,4.317474191954131,"Gregor, though, had no time to spare for his parents now; the chief clerk had already reached the stairs; with his chin on the banister, he looked back for the last time. || Until then he had been relatively self controlled, but now, instead of running after the chief clerk himself, or at least not impeding Gregor as he ran after him, Gregor’s father seized the chief clerk’s stick in his right hand (the chief clerk had left it behind on a chair, along with his hat and overcoat), picked up a large newspaper from the table with his left, and used them to drive Gregor back into his room, stamping his foot at him as he went. || Nothing would stop Gregor’s father as he drove him back, making hissing noises at him like a wild man."
5,505,507,506,508,3,0.431887751585826,4.37531497185685,3.9470415978152196,4.365758028920936,"These little, red apples rolled about on the floor, knocking into each other as if they had electric motors. || An apple thrown without much force glanced against Gregor’s back and slid off without doing any harm. || Another one however, immediately following it, hit squarely and lodged in his back; Gregor wanted to drag himself away, as if he could remove the surprising, the incredible pain by changing his position; but he felt as if nailed to the spot and spread himself out, all his senses in confusion."
6,647,650,648,651,4,0.3565618585589302,4.271585493198391,4.024142393511654,4.380704252070585,"We’ve done all that’s humanly possible to look after it and be patient, I don’t think anyone could accuse us of doing anything wrong.” || “She’s absolutely right”, said Gregor’s father to himself. || Gregor’s sister rushed to his mother and put her hand on her forehead."
7,664,670,665,671,7,0.3514436587321744,4.055474397530718,4.1297570094831055,4.336678992069038,"How can that be Gregor? || As it is this animal is persecuting us, it’s driven out our tenants, it obviously wants to take over the whole flat and force us to sleep on the streets. || She rushed over to behind her father, who had become excited merely because she was and stood up half raising his hands in front of Gregor’s sister as if to protect her."
