episode_id,start_idx,end_idx,start_window,end_window,duration,max_entr_index,mean_entr_index,window_id_list,sample_sentences
1,0,6,1,7,7,6.829960173070467,5.068066523599198,1 2 3 4 5 6 7,"He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections. || “What’s happened to me?” he thought. || A collection of textile samples lay spread out on the table—Samsa was a travelling salesman—and above it there hung a picture that he had recently cut out of an illustrated magazine and housed in a nice, gilded frame."
2,152,154,153,155,3,3.7499501334337544,3.7319961386957416,153 154 155,"I am astonished, quite astonished. || I thought I knew you as a calm and sensible person, and now you suddenly seem to be showing off with peculiar whims. || This morning, your employer did suggest a possible reason for your failure to appear, it’s true—it had to do with the money that was recently entrusted to you—but I came near to giving him my word of honour that that could not be the right explanation."
3,164,173,165,174,10,4.6867338335626645,4.02964594226811,165 166 167 168 169 170 171 172 173 174,It’s not quite as easy as I’d thought. || They must have noticed it. || Maybe you haven’t read the latest contracts I sent in.
4,235,242,236,243,8,4.862971319948776,4.367449557460403,236 237 238 239 240 241 242 243,"You’re well aware that I’m seriously in debt to our employer as well as having to look after my parents and my sister, so that I’m trapped in a difficult situation, but I will work my way out of it again. || They think we earn an enormous wage as well as having a soft time of it. || And you’re also well aware that we travellers spend almost the whole year away from the office, so that we can very easily fall victim to gossip and chance and groundless complaints, and it’s almost impossible to defend yourself from that sort of thing, we don’t usually even hear about them, or if at all it’s when we arrive back home exhausted from a trip, and that’s when we feel the harmful effects of what’s been going on without even knowing what caused them."
5,267,272,268,273,6,3.8893412320790426,3.731685414165011,268 269 270 271 272 273,"The flight of the chief clerk seemed, unfortunately, to put Gregor’s father into a panic as well. || Gregor’s appeals to his father were of no help, his appeals were simply not understood, however much he humbly turned his head his father merely stamped his foot all the harder. || Nothing would stop Gregor’s father as he drove him back, making hissing noises at him like a wild man."
6,665,669,666,670,5,4.8434745899800005,4.418679807824691,666 667 668 669 670,"If it were Gregor he would have seen long ago that it’s not possible for human beings to live with an animal like that and he would have gone of his own free will. || As it is this animal is persecuting us, it’s driven out our tenants, it obviously wants to take over the whole flat and force us to sleep on the streets. || In her alarm, which was totally beyond Gregor’s comprehension, his sister even abandoned his mother as she pushed herself vigorously out of her chair as if more willing to sacrifice her own mother than stay anywhere near Gregor."
