episode_id,start_window,end_window,duration,max_nei,mean_nei,center_sentence,episode_full_text
1,149,157,9,7.044920732152774,6.023505219345935,"I am astonished, quite astonished.","And it seemed to Gregor much more sensible to leave him now in peace instead of disturbing him with talking at him and crying. But the others didn’t know what was happening, they were worried, that would excuse their behaviour. The chief clerk now raised his voice, “Mr. Samsa”, he called to him, “what is wrong? You barricade yourself in your room, give us no more than yes or no for an answer, you are causing serious and unnecessary concern to your parents and you fail—and I mention this just by the way—you fail to carry out your business duties in a way that is quite unheard of. I’m speaking here on behalf of your parents and of your employer, and really must request a clear and immediate explanation. I am astonished, quite astonished. I thought I knew you as a calm and sensible person, and now you suddenly seem to be showing off with peculiar whims. This morning, your employer did suggest a possible reason for your failure to appear, it’s true—it had to do with the money that was recently entrusted to you—but I came near to giving him my word of honour that that could not be the right explanation. But now that I see your incomprehensible stubbornness I no longer feel any wish whatsoever to intercede on your behalf. And nor is your position all that secure. I had originally intended to say all this to you in private, but since you cause me to waste my time here for no good reason I don’t see why your parents should not also learn of it."
2,165,173,9,6.727636062234378,5.95347811303734,They must have noticed it.,"I’m just getting out of bed. It’s not quite as easy as I’d thought. I’m quite alright now, though. It’s shocking, what can suddenly happen to a person! I was quite alright last night, my parents know about it, perhaps better than me, I had a small symptom of it last night already. They must have noticed it. I don’t know why I didn’t let you know at work! But you always think you can get over an illness without staying at home. Please, don’t make my parents suffer! There’s no basis for any of the accusations you’re making; nobody’s ever said a word to me about any of these things. Maybe you haven’t read the latest contracts I sent in."
3,191,193,3,5.230481205171931,5.005768543997054,Did you hear the way Gregor spoke just now?”,"“You’ll have to go for the doctor straight away. Quick, get the doctor. Did you hear the way Gregor spoke just now?” “That was the voice of an animal”, said the chief clerk, with a calmness that was in contrast with his mother’s screams. his father called into the kitchen through the entrance hall, clapping his hands, “get a locksmith here, now!”"
4,237,241,5,5.334229342006177,5.1380461417549705,They think we earn an enormous wage as well as having a soft time of it.,"You’re well aware that I’m seriously in debt to our employer as well as having to look after my parents and my sister, so that I’m trapped in a difficult situation, but I will work my way out of it again. Please don’t make things any harder for me than they are already, and don’t take sides against me at the office. I know that nobody likes the travellers. They think we earn an enormous wage as well as having a soft time of it. That’s just prejudice but they have no particular reason to think better of it. But you, sir, you have a better overview than the rest of the staff, in fact, if I can say this in confidence, a better overview than the boss himself—it’s very easy for a businessman like him to make mistakes about his employees and judge them more harshly than he should."
5,266,272,7,5.723347634119401,5.289247788318396,"Until then he had been relatively self controlled, but now, instead of running after the chief clerk himself, or at least not impeding Gregor as he ran after him, Gregor’s father seized the chief clerk’s stick in his right hand (the chief clerk had left it behind on a chair, along with his hat and overcoat), picked up a large newspaper from the table with his left, and used them to drive Gregor back into his room, stamping his foot at him as he went.","That set his mother screaming anew, she fled from the table and into the arms of his father as he rushed towards her. Gregor, though, had no time to spare for his parents now; the chief clerk had already reached the stairs; with his chin on the banister, he looked back for the last time. Gregor made a run for him; he wanted to be sure of reaching him; the chief clerk must have expected something, as he leapt down several steps at once and disappeared; his shouts resounding all around the staircase. The flight of the chief clerk seemed, unfortunately, to put Gregor’s father into a panic as well. Until then he had been relatively self controlled, but now, instead of running after the chief clerk himself, or at least not impeding Gregor as he ran after him, Gregor’s father seized the chief clerk’s stick in his right hand (the chief clerk had left it behind on a chair, along with his hat and overcoat), picked up a large newspaper from the table with his left, and used them to drive Gregor back into his room, stamping his foot at him as he went. Gregor’s appeals to his father were of no help, his appeals were simply not understood, however much he humbly turned his head his father merely stamped his foot all the harder. Across the room, despite the chilly weather, Gregor’s mother had pulled open a window, leant far out of it and pressed her hands to her face. A strong draught of air flew in from the street towards the stairway, the curtains flew up, the newspapers on the table fluttered and some of them were blown onto the floor. Nothing would stop Gregor’s father as he drove him back, making hissing noises at him like a wild man."
6,666,670,5,6.356439570490263,5.772716027844667,"As it is this animal is persecuting us, it’s driven out our tenants, it obviously wants to take over the whole flat and force us to sleep on the streets.","How can that be Gregor? If it were Gregor he would have seen long ago that it’s not possible for human beings to live with an animal like that and he would have gone of his own free will. We wouldn’t have a brother any more, then, but we could carry on with our lives and remember him with respect. As it is this animal is persecuting us, it’s driven out our tenants, it obviously wants to take over the whole flat and force us to sleep on the streets. Father, look, just look”, she suddenly screamed, “he’s starting again!” In her alarm, which was totally beyond Gregor’s comprehension, his sister even abandoned his mother as she pushed herself vigorously out of her chair as if more willing to sacrifice her own mother than stay anywhere near Gregor. She rushed over to behind her father, who had become excited merely because she was and stood up half raising his hands in front of Gregor’s sister as if to protect her."
