roi_id,start_window,end_window,duration,mean_range,mean_valence,mean_arousal,mean_dominance
1,14,15,2,0.143937875,-0.113342905,-0.11729921000000001,-0.230516515
2,31,32,2,0.070629541,-0.064999333,-0.074515236,-0.057468287
3,48,55,8,0.077853535875,-0.0306358163875,-0.01600771775,-0.07508541325
4,60,65,6,0.10479447361666668,-0.07657102916666668,-0.051452653716666664,-0.14007965933333333
5,70,73,4,0.11628231449999998,-0.1308780865,-0.091074734,-0.2001111625
6,104,109,6,0.08461754449999999,-0.09312376133333333,-0.047661050833333336,-0.106659642
7,115,120,6,0.07383053866666667,-0.07647315633333333,-0.10346635266666666,-0.07311848433333333
8,156,162,7,0.07898330285714285,-0.2663710042857143,-0.31876812000000004,-0.30570544571428565
9,177,178,2,0.10189210500000001,-0.152271335,-0.110037075,-0.20608683500000002
10,206,218,13,0.10924279167692309,-0.04986400930769231,-0.064687692,-0.026209070876923077
11,223,225,3,0.09900604488666666,-0.06434796078,-0.09461794766666666,-0.10479886666666667
12,249,252,4,0.123990397,0.101418266,0.1579157175,0.03944175925
13,306,307,2,0.12587847749999997,-0.0670557875,-0.192934265,-0.12842684999999998
14,360,368,9,0.07960058,0.15659054377777779,0.1275015733333333,0.17435106700000003
15,397,403,7,0.128092281,-0.03685221757142857,-0.032063111,-0.14052632571428572
16,443,450,8,0.12228023087499999,0.028784850324999996,-0.012266629250000004,-0.075452093375
17,468,471,4,0.09560622749999999,0.09774682999999999,0.12466633749999999,0.082416705
18,482,498,17,0.07561416609470589,0.03173972623529412,0.004919606093529411,-0.005500400329411766
19,509,512,4,0.07711158225,-0.03474534925,-0.03394722425,-0.078220651
20,535,558,24,0.09103949395833334,-0.032667261083333336,-0.041746528375,-0.09754563341666667
21,636,647,12,0.07441711083333331,-0.1794695951666667,-0.22762037749999997,-0.17663924616666668
22,652,654,3,0.08058126266666667,-0.054806973333333335,-0.057411255333333334,-0.04850041803333333
23,659,661,3,0.074325692,-0.08449828799999999,-0.11463065333333335,-0.12564249666666666
